usertype,zip_code_start,borough_start,neighborhood_start,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Subscriber,10002,Manhattan,Lower East Side,10280,Manhattan,Lower Manhattan,20/11/2019,20/11/2019,38.2,5.7,0,20,5
Subscriber,10002,Manhattan,Lower East Side,10009,Manhattan,Lower East Side,06/11/2019,06/11/2019,52,2.6,0.12,20,5
Subscriber,10002,Manhattan,Lower East Side,10009,Manhattan,Lower East Side,08/02/2019,08/02/2019,25.9,4.4,0,0,4
Subscriber,10002,Manhattan,Lower East Side,10280,Manhattan,Lower Manhattan,12/11/2019,12/11/2019,59.5,2.4,0,20,7
Customer,10002,Manhattan,Lower East Side,11211,Brooklyn,Greenpoint,07/07/2019,07/07/2019,79.8,4.8,0,20,3
Customer,10002,Manhattan,Lower East Side,11211,Brooklyn,Greenpoint,16/11/2020,16/11/2020,58.1,2.9,0,60,1
Subscriber,10002,Manhattan,Lower East Side,10282,Manhattan,Tribeca,23/07/2020,23/07/2020,76.7,4.1,0,20,3
Customer,10002,Manhattan,Lower East Side,10280,Manhattan,Lower Manhattan,24/06/2020,24/06/2020,76.7,4.5,0.02,40,2
Subscriber,10002,Manhattan,Lower East Side,10003,Manhattan,Lower East Side,03/07/2019,03/07/2019,77.3,2,1,40,2
Subscriber,10002,Manhattan,Lower East Side,10005,Manhattan,Lower Manhattan,08/07/2019,08/07/2019,81.4,4.1,0.43,40,1
Customer,10002,Manhattan,Lower East Side,10013,Manhattan,Greenwich Village and Soho,16/09/2019,16/09/2019,63.5,1.7,0.03,20,2
Subscriber,10002,Manhattan,Lower East Side,10013,Manhattan,Greenwich Village and Soho,30/06/2019,30/06/2019,75.7,2.2,0,280,1
Subscriber,10002,Manhattan,Lower East Side,10002,Manhattan,Lower East Side,06/02/2019,06/02/2019,27.3,4.9,1.43,30,4
Subscriber,10002,Manhattan,Lower East Side,10001,Manhattan,Chelsea and Clinton,11/05/2020,11/05/2020,75.3,3.6,0,30,5
Subscriber,10002,Manhattan,Lower East Side,10036,Manhattan,Chelsea and Clinton,22/07/2020,22/07/2020,77.3,4.5,0,30,3
Subscriber,10002,Manhattan,Lower East Side,10012,Manhattan,Greenwich Village and Soho,19/03/2019,19/03/2019,36.9,6.2,0,20,4
Customer,10002,Manhattan,Lower East Side,10038,Manhattan,Lower Manhattan,05/07/2019,05/07/2019,71.4,6.7,0.14,10,6
